collectedAt,published_date,recordType,schemaVersion,source_name,source_url,summary,title,url
2026-08-11T17:15:19.306004,2026-08-11T16:25:20Z,NEWS,1.0,TechCrunch,https://techcrunch.com/2026/08/11/an-unreleased-anthropic-model-made-progress-on-one-of-maths-biggest-unsolved-problems/,"For more than 150 years, the Riemann hypothesis has stood as one of the major unsolved problems in mathematics. Anthropic hasn't solved it — but the company's models made more progress than you might expect.",An unreleased Anthropic model made progress on one of math’s biggest unsolved problems,https://techcrunch.com/2026/08/11/an-unreleased-anthropic-model-made-progress-on-one-of-maths-biggest-unsolved-problems/
2026-08-11T17:15:19.306024,2026-08-11T13:00:00Z,NEWS,1.0,TechCrunch,https://techcrunch.com/2026/08/11/spotify-will-label-ai-persona-profiles-and-exclude-their-music-from-recommendations/,"Spotify is introducing “AI Persona” labels for artist profiles that represent AI-generated identities and will exclude their music from editorial, algorithmic, and personalized recommendations by default.",Spotify will label ‘AI Persona’ profiles and exclude their music from recommendations,https://techcrunch.com/2026/08/11/spotify-will-label-ai-persona-profiles-and-exclude-their-music-from-recommendations/
2026-08-11T17:15:19.306036,2026-08-11T12:13:47Z,NEWS,1.0,TechCrunch,https://techcrunch.com/2026/08/11/anthropic-says-it-will-watermark-text-generated-by-its-ai-models/,Anthropic will extend support for watermarking AI generations for older models as well.,Anthropic says it will watermark text generated by its AI models,https://techcrunch.com/2026/08/11/anthropic-says-it-will-watermark-text-generated-by-its-ai-models/
2026-08-11T17:15:19.306045,2026-08-11T00:03:18Z,NEWS,1.0,TechCrunch,https://techcrunch.com/2026/08/10/openai-reportedly-completed-a-7-billion-employee-tender-offer/,San Francisco's housing market is in trouble again. ,OpenAI reportedly completed a $7 billion employee tender offer,https://techcrunch.com/2026/08/10/openai-reportedly-completed-a-7-billion-employee-tender-offer/
2026-08-11T17:15:19.306052,2026-08-10T23:56:15Z,NEWS,1.0,TechCrunch,https://techcrunch.com/2026/08/10/as-ai-led-attacks-multiply-openai-launches-a-new-cyber-model/,"OpenAI is expanding its AI cybersecurity defense program Daybreak, and rolling out a new cyber-trained AI model with it.","As AI-led attacks multiply, OpenAI launches a new cyber model",https://techcrunch.com/2026/08/10/as-ai-led-attacks-multiply-openai-launches-a-new-cyber-model/
2026-08-11T17:15:19.306060,2026-08-10T20:53:02Z,NEWS,1.0,TechCrunch,https://techcrunch.com/2026/08/10/mark-zuckerbergs-ai-manifesto-is-exactly-why-people-dont-like-ai/,"On Monday, Mark Zuckerberg published a 6,500-word manifesto about personal AI, largely about the possibilities for the ""personal superintelligence"" systems Meta AI is building. ",Mark Zuckerberg’s AI manifesto is exactly why people don’t like AI,https://techcrunch.com/2026/08/10/mark-zuckerbergs-ai-manifesto-is-exactly-why-people-dont-like-ai/
2026-08-11T17:15:19.306068,2026-08-10T20:04:24Z,NEWS,1.0,TechCrunch,https://techcrunch.com/2026/08/10/tech-industry-is-buzzing-after-a-claude-agent-hacked-into-a-gym/,An OpenClaw agent hacked into a gym's reservation system to bump its human boss higher on a class' waitlist. And the tech industry took notice.,Tech industry is buzzing after a Claude agent hacked into a gym,https://techcrunch.com/2026/08/10/tech-industry-is-buzzing-after-a-claude-agent-hacked-into-a-gym/
2026-08-11T17:15:19.306075,2026-08-11T12:37:12Z,NEWS,1.0,Wired,https://www.wired.com/story/a-zoom-screen-sharing-bug-let-anyone-take-over-other-devices-on-a-call/,Researchers say it took fewer than 20 prompts for a public AI tool to find a flaw (now fixed) allowing anyone on a Zoom call to hijack another participants’ device.,A Zoom Screen-Sharing Bug Let Anyone Take Over Other Devices on a Call,https://www.wired.com/story/a-zoom-screen-sharing-bug-let-anyone-take-over-other-devices-on-a-call/
2026-08-11T17:15:19.306083,2026-08-11T11:00:00Z,NEWS,1.0,Wired,https://www.wired.com/story/a-new-trick-reveals-ai-models-inner-thoughts/,"Researchers devised a way to extract “reasoning traces” from Claude, GPT, and Gemini. What they found, they say, indicates that some Chinese AI may be trained on leading US models.",A New Trick Reveals AI Models’ Inner Thoughts,https://www.wired.com/story/a-new-trick-reveals-ai-models-inner-thoughts/
2026-08-11T17:15:19.306091,2026-08-11T10:00:00Z,NEWS,1.0,Wired,https://www.wired.com/story/organoids-lab-grown-brains-neural-networks/,"Mini human brains are being grown in labs all over the world. Soon, they could outthink neural networks.",AI Is Dead. Organoids Are Alive,https://www.wired.com/story/organoids-lab-grown-brains-neural-networks/
