raw_name,canonical_name,entity_type,source,resolution_method
Scale AI,Scale AI,STARTUP,Y Combinator,source_verified
Podium,Podium,STARTUP,Y Combinator,source_verified
Checkr,Checkr,STARTUP,Y Combinator,source_verified
Enact,Enact,STARTUP,Y Combinator,source_verified
Mosaic,Mosaic,STARTUP,Y Combinator,source_verified
Pacific,Pacific,STARTUP,Y Combinator,source_verified
Erinys,Erinys,STARTUP,Y Combinator,source_verified
Marengo,Marengo,STARTUP,Y Combinator,source_verified
Prodigy Research,Prodigy Research,STARTUP,Y Combinator,source_verified
Dawn Industries,Dawn Industries,STARTUP,Y Combinator,source_verified
Hebbian Robotics,Hebbian Robotics,STARTUP,Y Combinator,source_verified
Audun,Audun,STARTUP,Y Combinator,source_verified
Neuromorphic,Neuromorphic,STARTUP,Y Combinator,source_verified
herdr,herdr,STARTUP,Y Combinator,source_verified
Jcode,Jcode,STARTUP,Y Combinator,source_verified
Forward,Forward,STARTUP,Y Combinator,source_verified
Click,Click,STARTUP,Y Combinator,source_verified
Agent FM,Agent FM,STARTUP,Y Combinator,source_verified
Riften,Riften,STARTUP,Y Combinator,source_verified
Qokedas,Qokedas,STARTUP,Y Combinator,source_verified
Omanta,Omanta,STARTUP,Y Combinator,source_verified
IMPACT Drones,IMPACT Drones,STARTUP,Y Combinator,source_verified
CarSignal,CarSignal,STARTUP,Y Combinator,source_verified
Standard Machines,Standard Machines,STARTUP,Y Combinator,source_verified
Amorphic Labs,Amorphic Labs,STARTUP,Y Combinator,source_verified
Vorelios,Vorelios,STARTUP,Y Combinator,source_verified
Financial Datasets,Financial Datasets,STARTUP,Y Combinator,source_verified
Verdict Machine,Verdict Machine,STARTUP,Y Combinator,source_verified
Arbital,Arbital,STARTUP,Y Combinator,source_verified
Lambda Robotics,Lambda Robotics,STARTUP,Y Combinator,source_verified
Stoa,Stoa,STARTUP,Y Combinator,source_verified
Stratum Industries,Stratum Industries,STARTUP,Y Combinator,source_verified
Luca IQ,Luca IQ,STARTUP,Y Combinator,source_verified
Trident,Trident,STARTUP,Y Combinator,source_verified
COACH,COACH,STARTUP,Y Combinator,source_verified
hiloop,hiloop,STARTUP,Y Combinator,source_verified
Executor,Executor,STARTUP,Y Combinator,source_verified
Atlia,Atlia,STARTUP,Y Combinator,source_verified
Tracer,Tracer,STARTUP,Y Combinator,source_verified
Lamb Labs,Lamb Labs,STARTUP,Y Combinator,source_verified
Dock,Dock,STARTUP,Y Combinator,source_verified
Decawork,Decawork,STARTUP,Y Combinator,source_verified
Buildbox,Buildbox,STARTUP,Y Combinator,source_verified
Wondering,Wondering,STARTUP,Y Combinator,source_verified
Synapse Semiconductor,Synapse Semiconductor,STARTUP,Y Combinator,source_verified
Traceforce,Traceforce,STARTUP,Y Combinator,source_verified
Lumeria,Lumeria,STARTUP,Y Combinator,source_verified
Zaplar,Zaplar,STARTUP,Y Combinator,source_verified
Gamgee,Gamgee,STARTUP,Y Combinator,source_verified
Palisade,Palisade,STARTUP,Y Combinator,source_verified
Maingen,Maingen,STARTUP,Y Combinator,source_verified
Proprio Robotics,Proprio Robotics,STARTUP,Y Combinator,source_verified
Computable,Computable,STARTUP,Y Combinator,source_verified
Orvixo,Orvixo,STARTUP,Y Combinator,source_verified
Olam Labs,Olam Labs,STARTUP,Y Combinator,source_verified
Last Accounting Company,Last Accounting Company,STARTUP,Y Combinator,source_verified
Vendo,Vendo,STARTUP,Y Combinator,source_verified
rekursiv.ai,rekursiv.ai,STARTUP,Y Combinator,source_verified
Kebra,Kebra,STARTUP,Y Combinator,source_verified
Bizmark,Bizmark,STARTUP,Y Combinator,source_verified
Billow AI Labs,Billow AI Labs,STARTUP,Y Combinator,source_verified
Donkey,Donkey,STARTUP,Y Combinator,source_verified
Daqstra,Daqstra,STARTUP,Y Combinator,source_verified
Axelrod,Axelrod,STARTUP,Y Combinator,source_verified
Almanac,Almanac,STARTUP,Y Combinator,source_verified
Rapidfolio,Rapidfolio,STARTUP,Y Combinator,source_verified
Instaplay,Instaplay,STARTUP,Y Combinator,source_verified
Rational,Rational,STARTUP,Y Combinator,source_verified
Illume Labs,Illume Labs,STARTUP,Y Combinator,source_verified
hardware intelligence,hardware intelligence,STARTUP,Y Combinator,source_verified
Ooak Data,Ooak Data,STARTUP,Y Combinator,source_verified
Fabraix,Fabraix,STARTUP,Y Combinator,source_verified
Assemble,Assemble,STARTUP,Y Combinator,source_verified
OneCLI,OneCLI,STARTUP,Y Combinator,source_verified
Understudy Labs,Understudy Labs,STARTUP,Y Combinator,source_verified
Osseus,Osseus,STARTUP,Y Combinator,source_verified
Palette,Palette,STARTUP,Y Combinator,source_verified
Alkera AI,Alkera AI,STARTUP,Y Combinator,source_verified
Skymerse,Skymerse,STARTUP,Y Combinator,source_verified
Alloovium,Alloovium,STARTUP,Y Combinator,source_verified
Zomma,Zomma,STARTUP,Y Combinator,source_verified
OpenRelay,OpenRelay,STARTUP,Y Combinator,source_verified
Torus,Torus,STARTUP,Y Combinator,source_verified
Conifer,Conifer,STARTUP,Y Combinator,source_verified
Agnost AI,Agnost AI,STARTUP,Y Combinator,source_verified
Trope,Trope,STARTUP,Y Combinator,source_verified
